user_id:token	item_id:token	rating:float	timestamp:float	wday:float
196	242	3	881250949	3
186	302	3	891717742	6
22	377	1	878887116	4
244	51	2	880606923	3
166	346	1	886397596	0
298	474	4	884182806	2
115	265	2	881171488	3
253	465	5	891628467	5
305	451	3	886324817	6
6	86	3	883603013	3
62	257	2	879372434	3
286	1014	5	879781125	0
200	222	5	876042340	6
210	40	3	891035994	5
224	29	3	888104457	6
303	785	3	879485318	4
122	387	5	879270459	2
194	274	2	879539794	5
291	1042	4	874834944	6
234	1184	2	892079237	3
119	392	4	886176814	5
167	486	4	892738452	3
299	144	4	877881320	6
291	118	2	874833878	6
308	1	4	887736532	2
95	546	2	879196566	1
38	95	5	892430094	0
102	768	2	883748450	4
63	277	4	875747401	3
160	234	5	876861185	2
50	246	3	877052329	4
301	98	4	882075827	6
225	193	4	879539727	5
290	88	4	880731963	4
97	194	3	884238860	3
157	274	4	886890835	6
181	1081	1	878962623	5
278	603	5	891295330	1
276	796	1	874791932	6
7	32	4	891350932	1
10	16	4	877888877	0
284	304	4	885329322	2
201	979	2	884114233	2
276	564	3	874791805	6
287	327	5	875333916	5
246	201	5	884921594	4
242	1137	5	879741196	0
249	241	5	879641194	6
99	4	5	886519097	1
178	332	3	882823437	1
251	100	4	886271884	6
81	432	2	876535131	5
260	322	4	890618898	0
25	181	5	885853415	1
59	196	5	888205088	0
72	679	2	880037164	3
87	384	4	879877127	2
290	143	5	880474293	2
42	423	5	881107687	2
292	515	4	881103977	2
115	20	3	881171009	3
20	288	1	879667584	6
201	219	4	884112673	2
13	526	3	882141053	0
246	919	4	884920949	4
138	26	5	879024232	6
167	232	1	892738341	3
60	427	5	883326620	0
57	304	5	883698581	4
223	274	4	891550094	4
189	512	4	893277702	3
243	15	3	879987440	3
92	1049	1	890251826	3
246	416	3	884923047	4
194	165	4	879546723	5
241	690	2	887249482	3
178	248	4	882823954	1
254	1444	3	886475558	1
293	5	3	888906576	1
127	229	5	884364867	5
225	237	5	879539643	5
299	229	3	878192429	3
225	480	5	879540748	5
276	54	3	874791025	6
291	144	5	874835091	6
222	366	4	878183381	3
267	518	5	878971773	5
42	403	3	881108684	2
11	111	4	891903862	1
95	625	4	888954412	2
8	338	4	879361873	3
162	25	4	877635573	4
87	1016	4	879876194	2
279	154	5	875296291	5
145	275	2	885557505	4
119	1153	5	874781198	6
62	498	4	879373848	3
62	382	3	879375537	3
28	209	4	881961214	5
135	23	4	879857765	1
32	294	3	883709863	4
90	382	5	891383835	2
286	208	4	877531942	2
293	685	3	888905170	1
216	144	4	880234639	6
166	328	5	886397722	0
250	496	4	878090499	2
271	132	5	885848672	1
160	174	5	876860807	2
265	118	4	875320714	5
198	498	3	884207492	3
42	96	5	881107178	2
168	151	5	884288058	4
110	307	4	886987260	0
58	144	4	884304936	4
90	648	4	891384754	2
271	346	4	885844430	1
62	21	3	879373460	3
279	832	3	881375854	5
237	514	4	879376641	3
94	789	4	891720887	6
128	485	3	879966895	3
298	317	4	884182806	2
44	195	5	878347874	5
264	200	5	886122352	4
194	385	2	879524643	5
72	195	5	880037702	3
222	750	5	883815120	5
250	264	3	878089182	2
41	265	3	890687042	1
224	245	3	888082216	6
82	135	3	878769629	3
262	1147	4	879791710	1
293	471	3	888904884	1
216	658	3	880245029	6
250	140	3	878092059	2
59	23	5	888205300	0
286	379	5	877533771	2
244	815	4	880605185	3
7	479	4	891352010	1
174	368	1	886434402	0
87	274	4	879876734	2
194	1211	2	879551380	5
82	1134	2	884714402	2
13	836	2	882139746	0
13	272	4	884538403	0
244	756	2	880605157	3
305	427	5	886323090	6
95	787	2	888954930	2
43	14	2	883955745	0
299	955	4	889502823	1
57	419	3	883698454	4
84	405	3	883452363	1
269	504	4	891449922	3
299	111	3	877878184	6
194	466	4	879525876	5
160	135	4	876860807	2
99	268	3	885678247	6
10	486	4	877886846	0
259	117	4	874724988	5
85	427	3	879456350	4
303	919	4	879467295	4
213	273	5	878870987	4
121	514	3	891387947	2
90	98	5	891383204	2
49	559	2	888067405	5
42	794	3	881108425	2
155	323	2	879371261	3
68	117	4	876973939	3
172	177	4	875537965	0
19	4	4	885412840	3
268	231	4	875744136	3
5	2	3	875636053	2
305	117	2	886324028	6
44	294	4	883612356	3
43	137	4	875975656	5
279	1336	1	875298353	5
80	466	5	887401701	5
254	164	4	886472768	1
298	281	3	884183336	2
279	1240	1	892174404	4
66	298	4	883601324	3
18	443	3	880130193	5
268	1035	2	875542174	0
99	79	4	885680138	6
13	98	4	881515011	0
26	258	3	891347949	1
7	455	4	891353086	1
222	755	4	878183481	3
200	673	5	884128554	2
119	328	4	876923913	2
213	172	5	878955442	5
276	322	3	874786392	6
94	1217	3	891723086	6
130	379	4	875801662	3
38	328	4	892428688	0
160	719	3	876857977	2
293	1267	3	888906966	1
26	930	2	891385985	2
130	216	4	875216545	4
92	1079	3	886443455	1
256	452	4	882164999	0
1	61	4	878542420	0
72	48	4	880036718	3
56	755	3	892910207	5
13	360	4	882140926	0
15	405	2	879455957	4
92	77	3	875654637	2
207	476	2	884386343	5
292	174	5	881105481	2
232	483	5	888549622	4
251	748	2	886272175	6
224	26	3	888104153	6
181	220	4	878962392	5
259	255	4	874724710	5
305	471	4	886323648	6
52	280	3	882922806	2
161	202	5	891170769	6
148	408	5	877399018	1
125	235	2	892838559	5
97	228	5	884238860	3
58	1098	4	884304936	4
83	234	4	887665548	1
90	347	4	891383319	2
272	178	5	879455113	4
194	181	3	879521396	4
125	478	4	879454628	4
110	688	1	886987605	0
299	14	4	877877775	6
151	10	5	879524921	5
269	127	4	891446165	2
6	14	5	883599249	3
54	106	3	880937882	0
303	69	5	879467542	4
16	944	1	877727122	5
301	790	4	882078621	6
276	1091	3	874793035	6
305	214	2	886323068	6
194	1028	2	879541148	5
91	323	2	891438397	2
87	554	4	879875940	2
294	109	4	877819599	6
286	171	4	877531791	2
200	318	5	884128458	2
229	328	1	891632142	5
178	568	4	882826555	1
303	842	2	879484804	4
62	65	4	879374686	3
207	591	3	876018608	6
92	172	4	875653271	2
301	401	4	882078040	6
36	339	5	882157581	0
70	746	3	884150257	2
63	242	3	875747190	3
28	201	3	881961671	5
279	68	4	875307407	5
250	7	4	878089716	2
14	98	3	890881335	3
299	1018	3	889502324	1
194	54	3	879525876	5
303	815	3	879485532	4
119	237	5	874775038	6
295	218	5	879966498	3
268	930	2	875742942	3
268	2	2	875744173	3
66	258	4	883601089	3
233	202	5	879394264	3
83	623	4	880308578	0
214	334	3	891542540	4
192	476	2	881368243	5
100	344	4	891374868	2
268	145	1	875744501	3
301	56	4	882076587	6
307	89	5	879283786	2
234	141	3	892334609	6
