key,value,percent
"(1193, 1)",814,0.44700713893465127
"(661, 1)",318,0.17462932454695224
"(914, 1)",310,0.1702361339923119
"(3408, 1)",726,0.3986820428336079
"(2355, 1)",833,0.457440966501922
"(1197, 1)",1112,0.6106534870950028
"(1287, 1)",337,0.18506315211422295
"(2804, 1)",665,0.3651839648544756
"(594, 1)",377,0.2070291048874245
"(919, 1)",828,0.4546952224052718
"(595, 1)",523,0.2872048325096101
"(938, 1)",93,0.051070840197693576
"(2398, 1)",190,0.1043382756727073
"(2918, 1)",681,0.37397034596375617
"(1035, 1)",556,0.3053267435475014
"(2791, 1)",988,0.542559033498078
"(2687, 1)",204,0.11202635914332784
"(2018, 1)",292,0.16035145524437122
"(3105, 1)",340,0.18671059857221306
"(2797, 1)",668,0.36683141131246566
"(2321, 1)",610,0.33498077979132346
"(720, 1)",200,0.10982976386600769
"(1270, 1)",1229,0.6749038989566173
"(527, 1)",1169,0.641954969796815
"(2340, 1)",134,0.07358594179022515
"(48, 1)",195,0.1070840197693575
"(1097, 1)",1089,0.5980230642504119
"(1721, 1)",779,0.42778693025809994
"(1545, 1)",40,0.021965952773201538
"(745, 1)",325,0.17847336628226249
"(2294, 1)",310,0.1702361339923119
"(3186, 1)",113,0.06205381658429435
"(1566, 1)",232,0.12740252608456892
"(588, 1)",670,0.36792970895112576
"(1907, 1)",232,0.12740252608456892
"(783, 1)",223,0.12246018671059858
"(1836, 1)",61,0.033498077979132346
"(1022, 1)",282,0.15485996705107083
"(2762, 1)",1095,0.6013179571663921
"(150, 1)",599,0.32894014277869305
"(1, 1)",1016,0.5579352004393191
"(1961, 1)",648,0.35584843492586493
"(1962, 1)",293,0.16090060406370127
"(2692, 1)",516,0.2833607907742998
"(260, 1)",1474,0.8094453596924767
"(1028, 1)",442,0.242723778143877
"(1029, 1)",293,0.16090060406370127
"(1207, 1)",436,0.23942888522789676
"(2028, 1)",1345,0.7386051619989017
"(531, 1)",156,0.085667215815486
"(3114, 1)",856,0.4700713893465129
"(608, 1)",1255,0.6891817682591982
"(1246, 1)",372,0.2042833607907743
"(1357, 1)",288,0.15815485996705106
"(3068, 1)",186,0.10214168039538715
"(1537, 1)",180,0.09884678747940692
"(647, 1)",179,0.09829763866007687
"(2194, 1)",526,0.28885227896760024
"(648, 1)",879,0.4827018121911038
"(2268, 1)",518,0.2844590884129599
"(2628, 1)",1030,0.5656232839099395
"(1103, 1)",204,0.11202635914332784
"(2916, 1)",956,0.5249862712795168
"(3468, 1)",200,0.10982976386600769
"(1210, 1)",1412,0.7753981328940143
"(1792, 1)",228,0.12520593080724876
"(1687, 1)",152,0.08347062053816584
"(1213, 1)",812,0.44590884129599123
"(3578, 1)",1022,0.5612300933552993
"(2881, 1)",373,0.20483250961010435
"(3030, 1)",105,0.057660626029654036
"(1217, 1)",170,0.09335529928610653
"(434, 1)",323,0.17737506864360242
"(2126, 1)",256,0.14058209774848984
"(3107, 1)",407,0.22350356946732564
"(3108, 1)",422,0.2317408017572762
"(3035, 1)",198,0.10873146622734761
"(1253, 1)",277,0.15211422295442065
"(1610, 1)",782,0.4294343767160901
"(292, 1)",336,0.18451400329489293
"(2236, 1)",92,0.050521691378363535
"(3071, 1)",155,0.08511806699615596
"(902, 1)",320,0.1757276221856123
"(368, 1)",403,0.2213069741900055
"(1259, 1)",973,0.5343218012081274
"(3147, 1)",508,0.27896760021965955
"(1544, 1)",738,0.4052718286655684
"(1293, 1)",304,0.16694124107633168
"(1188, 1)",334,0.18341570565623283
"(3255, 1)",534,0.2932454695222405
"(3256, 1)",483,0.2652388797364086
"(3257, 1)",298,0.16364634816035145
"(110, 1)",1327,0.7287204832509611
"(2278, 1)",369,0.2026359143327842
"(2490, 1)",376,0.20647995606809447
"(1834, 1)",246,0.13509060955518945
"(3471, 1)",656,0.3602416254805052
"(589, 1)",1422,0.7808896210873146
"(1690, 1)",365,0.20043931905546403
"(3654, 1)",223,0.12246018671059858
"(2852, 1)",73,0.040087863811092805
"(1945, 1)",250,0.1372872048325096
"(982, 1)",33,0.018121911037891267
"(1873, 1)",132,0.07248764415156507
"(2858, 1)",1821,1.0
"(1225, 1)",647,0.3552992861065349
"(515, 1)",211,0.1158704008786381
"(442, 1)",340,0.18671059857221306
"(2312, 1)",144,0.07907742998352553
"(265, 1)",363,0.19934102141680396
"(1408, 1)",499,0.2740252608456892
"(1084, 1)",344,0.18890719384953322
"(3699, 1)",395,0.21691378363536518
"(480, 1)",1456,0.7995606809445359
