user_id:token	item_id:token	rating:float	timestamp:float
6	203	3	883602864
435	9	4	884131055
87	804	3	879877083
308	811	4	887739212
624	870	4	879793155
425	1595	2	878738757
846	555	2	883949508
588	71	4	890024195
846	1530	2	883949335
655	958	3	887428993
760	631	3	875668368
766	357	4	891309558
780	174	5	891363783
894	283	3	880993490
339	80	3	891035707
435	743	3	884134910
289	363	3	876790653
545	199	4	880347770
918	495	3	891987689
201	92	3	884112245
661	615	4	876013774
164	282	5	889401927
280	585	3	891702441
682	876	3	888521290
210	160	4	887737210
454	939	2	888267386
804	97	4	879442057
357	456	3	878952265
268	108	3	875742992
416	1089	2	876697695
495	155	3	888635455
327	336	2	887737569
912	186	3	875966202
234	130	1	892336194
727	771	3	883713692
331	32	4	877196633
676	892	4	892685900
862	1110	5	879305386
343	10	4	876403009
896	1221	2	887159261
276	759	1	874796412
167	1304	4	892738277
280	1473	3	891700904
334	1525	4	893074672
429	495	3	882385358
606	966	5	880923745
617	653	4	883788955
491	129	4	891185170
276	1083	3	877934891
846	1286	4	883948173
234	280	3	892334803
713	1127	3	888882225
234	1330	3	892078343
104	713	3	888465491
213	118	4	878870871
270	226	4	876956038
880	1134	5	880241609
305	199	4	886323779
379	701	4	892879481
843	1065	3	879448751
85	180	4	879454820
303	1023	2	879544898
642	783	4	885606024
264	70	4	886123596
474	76	4	887926573
527	317	4	879456405
934	703	4	891195437
201	509	3	884111546
181	871	2	878963168
934	527	3	891191334
405	1470	2	885549045
796	974	3	893194740
378	172	4	880045886
355	1175	5	879486421
828	1196	2	891036492
585	634	4	891285491
711	1190	3	886030579
201	1229	3	884140307
897	951	3	879991186
106	107	4	883876961
182	48	3	876436556
640	369	3	886474977
332	1150	3	887938631
279	1485	4	878262195
305	160	4	886323937
774	8	1	888556090
551	363	4	892784710
807	842	4	892979600
551	421	4	892778202
57	168	3	883698362
405	1308	1	885546336
174	722	4	886513896
886	1489	1	876034074
389	471	4	879916077
276	218	4	874792663
804	84	3	879445933
627	148	3	879530463
224	846	4	888104116
181	1372	1	878962279
303	376	2	879543617
405	668	1	885548275
445	257	2	891199945
708	764	4	877325934
137	680	5	881432735
276	562	3	889174870
863	1680	2	889289570
577	471	3	880471640
752	348	4	891208213
561	640	5	885809005
707	1530	3	886288356
213	11	4	878956156
676	1654	1	892685960
145	299	4	875269822
109	53	4	880583336
352	653	3	884290428
297	249	3	874955210
54	1088	3	880937311
782	1605	2	891500194
224	20	1	888104487
834	628	5	890862648
399	1393	3	882340421
69	1016	3	882072956
848	163	5	887048073
490	1383	1	875428417
59	1115	3	888203128
640	684	4	874778568
764	939	4	876245880
663	23	4	889493818
909	292	4	891919160
279	450	4	889326161
934	614	3	891191334
655	1506	3	887428871
532	520	5	892861434
181	1381	2	878962349
18	403	3	880132103
283	1114	5	879297545
749	24	2	878849508
336	1249	3	877756356
805	425	5	881698745
178	607	3	882826347
417	1539	2	879649539
123	707	5	879809943
405	1103	2	885546025
406	414	2	880131704
76	137	5	875498777
244	1467	5	880605553
284	307	4	885329322
193	147	2	890860290
642	1181	2	885607143
416	1220	3	886318155
921	560	2	879380981
201	1039	3	884111599
178	232	5	882827162
544	749	4	884795471
881	291	3	876537177
764	191	3	876244688
864	966	4	888888994
1	41	2	876892818
847	645	3	878940132
130	405	4	875801984
405	859	1	885547506
655	1644	1	888474327
59	70	3	888204758
504	1110	2	887911583
393	1337	3	887745380
276	1089	2	882659211
288	1065	4	886373474
169	684	5	891359354
381	1115	4	892697600
860	900	3	886354648
941	147	4	875049077
229	344	5	891633028
896	942	4	887160209
655	1639	4	887650483
236	57	5	890116575
325	835	5	891478099
727	774	3	883713257
766	968	4	891310241
869	1382	3	884492201
537	1420	1	886029181
406	479	4	879445771
374	405	4	880392992
535	919	4	879618207
936	281	4	886832903
181	424	1	878962240
58	1006	2	884304865
294	827	1	889243393
872	1165	2	888479537
851	1598	3	886534882
727	42	5	883710375
468	160	3	875295148
727	1224	3	883712219
178	220	3	882827247
532	495	4	888634801
151	97	5	879528801
234	964	4	892334852
863	1237	4	889289618
201	408	4	884111436
601	1615	4	876348107
313	22	3	891014870
624	845	3	879793129
450	530	3	887661843
892	500	5	886609622
437	1599	5	880142614
5	422	4	875636767
920	682	3	884220058
256	1471	3	882164999
619	597	4	885953850
83	35	1	886534501
936	1370	4	886833571
268	268	5	876513491
477	709	5	875941763
749	1615	4	878847076
579	1446	2	880952165
60	499	3	883326682
181	1341	1	878962169
846	716	3	883949508
234	832	2	892335501
934	533	3	891189640
185	423	5	883524428
655	1436	2	888474679
500	535	3	890010025
314	395	2	877889770
463	313	4	889935655
899	291	4	884122279
653	862	2	880153378
267	552	3	878973621
880	571	2	880175187
648	368	2	884366748
846	837	5	883948495
327	281	3	887820341
474	77	5	887926106
640	540	3	874778479
453	652	3	877554443
59	182	5	888204877
70	217	4	884151119
774	527	1	888556698
464	1226	4	878355033
102	444	1	888803245
397	7	5	885349913
270	242	5	876953744
773	840	1	888540218
393	1180	4	889731465
747	608	4	888640475
864	619	3	888889327
705	1035	4	883427737
843	563	2	879443545
94	217	4	891722646
110	944	3	886989501
334	1133	4	891549192
586	720	4	884062742
551	833	3	892784166
713	689	3	888882225
691	672	1	875543153
346	22	5	874948059
130	669	4	888962754
881	1066	3	876538726
363	455	5	891496927
399	57	4	882343260
326	701	4	879876141
828	1672	2	891037722
650	27	3	891381745
616	289	4	891224840
378	1523	2	880334067
795	79	2	880568325
222	101	4	878183539
655	1448	3	887523224
854	1677	3	882814368
798	28	4	875638354
185	279	4	883525255
426	486	3	879444604
90	500	4	891384721
239	45	5	889180578
551	698	4	892782734
206	1433	1	888180049
246	802	1	884923471
299	1119	4	889502727
99	237	5	885678886
608	269	3	880402272
880	1000	3	880175128
600	1004	4	888451839
6	527	4	883600877
503	1316	1	892667252
194	195	3	879521657
276	1218	4	874792040
642	1285	4	886132043
305	60	3	886324097
207	1225	3	875508817
128	652	3	879966603
387	206	4	886483429
747	529	5	888640099
445	1199	1	891200447
804	10	4	879442298
151	1065	3	879542413
271	1117	3	885847763
648	167	4	884882407
405	418	5	885548836
151	227	5	879542670
763	197	4	878918360
790	738	3	885158396
880	1165	2	880175527
210	423	5	887737338
721	880	3	877137109
293	160	4	888907036
404	901	2	883790585
927	819	3	879181508
500	1010	4	883865483
798	1544	3	875638925
